"Vehicle Vin","Vehicle Make","Vehicle Model","Vehicle Trim Level","Vehicle Transmission Type","Vehicle Drive Type","Vehicle Type","Vehicle Year","Stock Number","Interior Color","Exterior Color","Engine","Cylinders","Cost","Wholesale","Retail","Mileage","Purchase Date","Comments","Inventory Type","Certified Pre Owned","Image URL","Option List","Total Cost","Down Payment","YouTube URL","Location Code","Market Value","Retail2","Other Price/Cost","Weekly Payment","Monthly Payment","Payment Details","Fuel Type","Interior Material","MSRP"

"7LZBE1625PW114888","DARKHORSE","TRAILER","Enclosed","Automatic","","Boat","2023","4008","WHITE","WHITE","","0","ZERO","ZERO","    8900.00","1000"," 8/29/2023","*Awesome trailer for whatever you can dream up. Obviously it has our decals on it, which can come off easily if needed.       *  We bought it brand new and have used it as a sound and lights trailer, construction trailer, toy hauler, mobile man cave (currently)...if you can dream it, this trailer can probably be used for it.        *Floor is wood in good condition and has been treated.     *Has electric run for lights and plenty of cargo tracks for whatever you need in there.         *Ready to hook up and go wherever you need it to go!        *Will get a walkaround video as soon as possible.","Used","No","https://cdn.frazerphotos.com/22489/22489_000004008_k0lsszn.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_9ocknag.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_55rlqx5.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_dk5k3ib.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_e1zgupj.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_1hgekp0.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_qywfoyw.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_pc6uk2a.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_k3vthb2.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_dcpr1fo.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_i7wniue.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_a5nsryt.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_shtyo9q.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_5hrokmf.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_2rot11e.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_7bk4o20.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_e4ur070.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_2p2eeox.jpg|https://cdn.frazerphotos.com/22489/22489_000004008_o0p7m6z.jpg|","","ZERO","       0.00","","0","       0.00","    8900.00","     0","       0.00","       0.00","","Other","","        "

"WBY1Z4C56GV505741","BMW","I3","REX","Continuously Variable","RWD","Hatchback","2016","4043","","BLACK","0.7L","2","ZERO","ZERO","    6500.00","75687","10/24/2023","Video Test Drive URL (The Nitty Gritty): https://youtu.be/tOWVc8Wd9UA    Just the Basics:    *Great driving car. Good power. Smooth ride.     *Comes with a 110-volt charger for overnight charging and is compatible with faster commercial chargers for quick power-ups.    *Primarily an electric car, but has the range extended for fuel so you don't get stranded    *The exterior plastic charging door is missing.    *Picture of car fully charged shows battery health and range (based on last driver)","Used","No","https://cdn.frazerphotos.com/22489/22489_4043_3013.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3014.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3015.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3016.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3017.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3018.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3019.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3020.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3021.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3022.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3023.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3946.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3024.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3025.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3026.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3027.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3944.jpg|https://cdn.frazerphotos.com/22489/22489_4043_3945.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Daytime Running Lights; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS; Power Sun/Moon Roof","ZERO","       0.00","https://youtu.be/tOWVc8Wd9UA","0","    9430.00","    6500.00","     0","       0.00","       0.00","","Hybrid","","        "

"3C6UR5GL6FG511325","RAM","2500","LONGHORN","Automatic","4WD","Truck","2015","4089","BLACK","BLACK","6.7L","6","ZERO","ZERO","   22500.00","544576"," 2/20/2024","PLEASE READ BEFORE YOU CALL OR COME IN!!! We only accept CASH payment. If there is no description here, check www.highlifeauto for updates.    Link to Video:    Good to Go:    Take a Look at:","Used","No","https://cdn.frazerphotos.com/22489/22489_000004089_pdsd3t6.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_wpa5y1h.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_7v1md5m.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_z6jpr6l.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_nkjlmam.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_jevtzc2.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_qtb7ea1.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_zi8p3f6.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_d33604e.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_qvh9q06.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_kfabbug.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_8t1g3p5.jpg|https://cdn.frazerphotos.com/22489/22489_000004089_9ai8ij9.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/DVD; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Air Bags Front and Sides; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; Power Sun/Moon Roof; 3/4 Ton","ZERO","       0.00","","0","   20310.00","   22500.00","     0","       0.00","       0.00","","Diesel","","   64645"

"JN8AF5MR4ET353862","NISSAN","JUKE","S","Continuously Variable","FWD","SUV","2014","4099","","BLACK","1.6L","4","ZERO","ZERO","    3500.00","172406"," 2/28/2024","Video Test Drive (The Nitty Gritty): https://youtu.be/twVJ-z0rMK4         Just the Basics:     *    Runs and Drives Well.     *Tires are between 50% and 75%    *Came from St Louis--Less Rust     *Brand New Turbo!     *Traction Control Light (Yaw Sensor).     *Tire Pressure Light (Another Sensor)","Used","No","https://cdn.frazerphotos.com/22489/22489_000004099_wrw2iou.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_bbatlaw.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_8zhezrb.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_1dvd4zv.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_ao3jis6.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_tdqea38.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_zvc7v9n.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_fa3mzed.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_d23jtzz.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_61weg44.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_871o6b3.jpg|https://cdn.frazerphotos.com/22489/22489_000004099_xg6pkrp.jpg|https://cdn.frazerphotos.com/22489/22489_4099_3940.jpg|https://cdn.frazerphotos.com/22489/22489_4099_3941.jpg|","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Dual Air Bags Front Head and Sides; Active Belts; All Wheel ABS","ZERO","       0.00","https://youtu.be/twVJ-z0rMK4?si=oanG6H3CmbI3YFQX","0","       0.00","    3500.00","     0","       0.00","       0.00","","Gasoline","","        "

"1J4BA3H18BL539269","JEEP","WRANGLER UNLIMI","SPORT","Automatic","4WD","SUV","2011","3570","BLACK","BLACK","3.8L","6","ZERO","ZERO","   20000.00","113712"," 7/28/2021","This has been my personal Jeep for a few years. I have done all the upgrades including a Rough Country lift and heavy suspension upgrade. It has nearly new 35'' tires and a regeared 5.13 rear end to make that adjustment flawless.     Has drive-in snow plow hook ups and a winch with synthetic rope.    It's not perfect and it gets driven all the time. But the frame is solid and it will take you anywhere you want to go.","Used","No","https://cdn.frazerphotos.com/22489/22489_3570_3661.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3662.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3663.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3664.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3665.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3666.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3667.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3668.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3669.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3670.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3671.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3672.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3673.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3674.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3675.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3676.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3677.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3678.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3679.jpg|https://cdn.frazerphotos.com/22489/22489_3570_3680.jpg|","Air Conditioning; Available; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Passive sentry key; Dual Front Airbags; Passenger Sensor; Active Belts; All Wheel ABS; Retractable Roof Panel","ZERO","       0.00","https://youtu.be/p_FZ-3xXej8","0","       0.00","   20000.00","     0","       0.00","       0.00","","Gasoline","","        "
